General y Grupos ECOICOP ver.2;Tipo de dato;Periodo;Total
03 Vestido y calzado;Variación mensual;2025M06;-0,8
03 Vestido y calzado;Variación mensual;2025M05;2,5
03 Vestido y calzado;Variación mensual;2025M04;7,2
03 Vestido y calzado;Variación mensual;2025M03;2,5
03 Vestido y calzado;Variación mensual;2025M02;-1,5
03 Vestido y calzado;Variación mensual;2025M01;-11,2
03 Vestido y calzado;Variación mensual;2024M12;-0,7
03 Vestido y calzado;Variación mensual;2024M11;4,2
03 Vestido y calzado;Variación mensual;2024M10;8,5
03 Vestido y calzado;Variación mensual;2024M09;2,4
03 Vestido y calzado;Variación mensual;2024M08;-0,9
03 Vestido y calzado;Variación mensual;2024M07;-9,6
03 Vestido y calzado;Variación mensual;2024M06;-0,8
03 Vestido y calzado;Variación mensual;2024M05;2,3
03 Vestido y calzado;Variación mensual;2024M04;7,1
03 Vestido y calzado;Variación mensual;2024M03;2,4
03 Vestido y calzado;Variación mensual;2024M02;-1,8
03 Vestido y calzado;Variación mensual;2024M01;-10,7
03 Vestido y calzado;Variación mensual;2023M12;-1,0
03 Vestido y calzado;Variación mensual;2023M11;4,2
03 Vestido y calzado;Variación mensual;2023M10;8,6
03 Vestido y calzado;Variación mensual;2023M09;2,6
03 Vestido y calzado;Variación mensual;2023M08;-0,6
03 Vestido y calzado;Variación mensual;2023M07;-9,7
03 Vestido y calzado;Variación mensual;2023M06;-0,8
03 Vestido y calzado;Variación mensual;2023M05;2,3
03 Vestido y calzado;Variación mensual;2023M04;7,5
03 Vestido y calzado;Variación mensual;2023M03;3,2
03 Vestido y calzado;Variación mensual;2023M02;-1,3
03 Vestido y calzado;Variación mensual;2023M01;-11,5
03 Vestido y calzado;Variación mensual;2022M12;-0,3
03 Vestido y calzado;Variación mensual;2022M11;3,3
03 Vestido y calzado;Variación mensual;2022M10;8,5
03 Vestido y calzado;Variación mensual;2022M09;3,6
03 Vestido y calzado;Variación mensual;2022M08;-0,6
03 Vestido y calzado;Variación mensual;2022M07;-10,2
03 Vestido y calzado;Variación mensual;2022M06;-0,6
03 Vestido y calzado;Variación mensual;2022M05;2,7
03 Vestido y calzado;Variación mensual;2022M04;8,5
03 Vestido y calzado;Variación mensual;2022M03;3,8
03 Vestido y calzado;Variación mensual;2022M02;-1,5
03 Vestido y calzado;Variación mensual;2022M01;-13,0
03 Vestido y calzado;Variación mensual;2021M12;-2,1
03 Vestido y calzado;Variación mensual;2021M11;4,7
03 Vestido y calzado;Variación mensual;2021M10;11,1
03 Vestido y calzado;Variación mensual;2021M09;5,3
03 Vestido y calzado;Variación mensual;2021M08;-1,1
03 Vestido y calzado;Variación mensual;2021M07;-12,4
03 Vestido y calzado;Variación mensual;2021M06;-1,3
03 Vestido y calzado;Variación mensual;2021M05;2,3
03 Vestido y calzado;Variación mensual;2021M04;10,3
03 Vestido y calzado;Variación mensual;2021M03;4,4
03 Vestido y calzado;Variación mensual;2021M02;-1,4
03 Vestido y calzado;Variación mensual;2021M01;-15,3
03 Vestido y calzado;Variación mensual;2020M12;-2,1
03 Vestido y calzado;Variación mensual;2020M11;4,8
03 Vestido y calzado;Variación mensual;2020M10;11,1
03 Vestido y calzado;Variación mensual;2020M09;5,4
03 Vestido y calzado;Variación mensual;2020M08;-1,2
03 Vestido y calzado;Variación mensual;2020M07;-12,5
03 Vestido y calzado;Variación mensual;2020M06;-1,3
03 Vestido y calzado;Variación mensual;2020M05;2,4
03 Vestido y calzado;Variación mensual;2020M04;10,3
03 Vestido y calzado;Variación mensual;2020M03;4,4
03 Vestido y calzado;Variación mensual;2020M02;-1,5
03 Vestido y calzado;Variación mensual;2020M01;-15,3
03 Vestido y calzado;Variación mensual;2019M12;-2,1
03 Vestido y calzado;Variación mensual;2019M11;4,9
03 Vestido y calzado;Variación mensual;2019M10;11,2
03 Vestido y calzado;Variación mensual;2019M09;5,4
03 Vestido y calzado;Variación mensual;2019M08;-1,2
03 Vestido y calzado;Variación mensual;2019M07;-12,6
03 Vestido y calzado;Variación mensual;2019M06;-1,3
03 Vestido y calzado;Variación mensual;2019M05;2,4
03 Vestido y calzado;Variación mensual;2019M04;10,5
03 Vestido y calzado;Variación mensual;2019M03;4,4
03 Vestido y calzado;Variación mensual;2019M02;-1,5
03 Vestido y calzado;Variación mensual;2019M01;-15,4
03 Vestido y calzado;Variación mensual;2018M12;-2,0
03 Vestido y calzado;Variación mensual;2018M11;4,9
03 Vestido y calzado;Variación mensual;2018M10;11,1
03 Vestido y calzado;Variación mensual;2018M09;5,3
03 Vestido y calzado;Variación mensual;2018M08;-1,2
03 Vestido y calzado;Variación mensual;2018M07;-12,6
03 Vestido y calzado;Variación mensual;2018M06;-1,2
03 Vestido y calzado;Variación mensual;2018M05;2,6
03 Vestido y calzado;Variación mensual;2018M04;10,3
03 Vestido y calzado;Variación mensual;2018M03;4,3
03 Vestido y calzado;Variación mensual;2018M02;-1,5
03 Vestido y calzado;Variación mensual;2018M01;-15,3
03 Vestido y calzado;Variación mensual;2017M12;-2,0
03 Vestido y calzado;Variación mensual;2017M11;5,0
03 Vestido y calzado;Variación mensual;2017M10;11,1
03 Vestido y calzado;Variación mensual;2017M09;5,3
03 Vestido y calzado;Variación mensual;2017M08;-1,2
03 Vestido y calzado;Variación mensual;2017M07;-12,6
03 Vestido y calzado;Variación mensual;2017M06;-1,2
03 Vestido y calzado;Variación mensual;2017M05;2,4
03 Vestido y calzado;Variación mensual;2017M04;10,2
03 Vestido y calzado;Variación mensual;2017M03;4,2
03 Vestido y calzado;Variación mensual;2017M02;-1,6
03 Vestido y calzado;Variación mensual;2017M01;-15,3
03 Vestido y calzado;Variación mensual;2016M12;-2,1
03 Vestido y calzado;Variación mensual;2016M11;5,1
03 Vestido y calzado;Variación mensual;2016M10;11,2
03 Vestido y calzado;Variación mensual;2016M09;5,1
03 Vestido y calzado;Variación mensual;2016M08;-1,3
03 Vestido y calzado;Variación mensual;2016M07;-12,8
03 Vestido y calzado;Variación mensual;2016M06;-1,2
03 Vestido y calzado;Variación mensual;2016M05;2,6
03 Vestido y calzado;Variación mensual;2016M04;10,6
03 Vestido y calzado;Variación mensual;2016M03;4,3
03 Vestido y calzado;Variación mensual;2016M02;-1,6
03 Vestido y calzado;Variación mensual;2016M01;-15,3
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2026M05;""
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2026M04;-2,6
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2026M03;0,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2026M02;-0,3
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2026M01;0,9
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2025M12;0,6
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2025M11;-0,2
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2025M10;0,9
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2025M09;0,4
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2025M08;0,0
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2025M07;0,5
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2025M06;1,2
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2025M05;0,4
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2025M04;-0,9
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2025M03;-1,6
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2025M02;0,5
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2025M01;3,8
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2024M12;0,6
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2024M11;1,6
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2024M10;0,5
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2024M09;-0,7
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2024M08;0,7
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2024M07;-1,8
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2024M06;0,8
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2024M05;0,8
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2024M04;0,5
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2024M03;2,2
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2024M02;-1,3
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2024M01;3,3
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2023M12;0,5
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2023M11;-1,4
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2023M10;-0,7
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2023M09;0,4
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2023M08;-0,2
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2023M07;0,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2023M06;0,8
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2023M05;-0,3
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2023M04;-1,8
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2023M03;-2,0
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2023M02;3,0
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2023M01;-4,2
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2022M12;0,7
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2022M11;-3,5
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2022M10;-6,6
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2022M09;-5,2
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2022M08;3,6
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2022M07;2,6
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2022M06;3,4
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2022M05;-0,7
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2022M04;-7,7
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2022M03;9,7
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2022M02;0,6
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2022M01;-0,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2021M12;6,5
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2021M11;-2,0
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2021M10;4,0
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2021M09;3,5
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2021M08;2,2
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2021M07;-0,8
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2021M06;2,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2021M05;0,4
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2021M04;3,4
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2021M03;3,3
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2021M02;-5,3
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2021M01;4,3
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2020M12;1,0
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2020M11;1,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2020M10;-1,2
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2020M09;0,8
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2020M08;0,3
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2020M07;0,5
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2020M06;1,7
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2020M05;0,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2020M04;-2,0
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2020M03;-2,0
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2020M02;-1,2
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2020M01;1,0
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2019M12;-1,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2019M11;-0,4
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2019M10;1,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2019M09;-0,5
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2019M08;-1,0
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2019M07;0,7
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2019M06;-0,6
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2019M05;-0,5
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2019M04;-0,2
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2019M03;-0,8
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2019M02;-1,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2019M01;-0,6
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2018M12;-0,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2018M11;-0,2
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2018M10;0,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2018M09;1,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2018M08;0,6
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2018M07;0,9
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2018M06;0,5
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2018M05;1,8
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2018M04;-0,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2018M03;-1,9
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2018M02;0,4
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2018M01;-0,5
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2017M12;0,2
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2017M11;0,9
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2017M10;1,4
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2017M09;0,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2017M08;0,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2017M07;-0,2
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2017M06;0,3
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2017M05;0,3
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2017M04;0,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2017M03;-1,5
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2017M02;-3,0
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2017M01;2,8
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2016M12;1,3
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2016M11;0,7
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2016M10;2,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2016M09;0,5
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2016M08;0,0
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2016M07;0,2
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2016M06;2,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2016M05;0,2
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2016M04;-0,8
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2016M03;-0,1
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2016M02;-1,6
04 Vivienda, agua, electricidad, gas y otros combustibles;Variación mensual;2016M01;-3,5
